tier,file,area_cm2,over45,over60,worst,support_cm3,gap_max_mm,flip_over45,flip_over60,flip_worst,flip_support_cm3,flip_gap_max_mm,better_flipped
shape only,P16_REAR_HAUNCH_R_s13.stl,402.165,0.472,0.472,86.786,317.821,22.471,0.472,0.472,86.786,167.598,21.429,yes
shape only,P16_REAR_HAUNCH_R_s14.stl,1528.493,0.302,0.244,90.0,4946.691,150.265,0.302,0.244,90.0,774.137,125.43,yes
shape only,P16_REAR_HAUNCH_R_s15.stl,677.038,0.482,0.482,86.786,431.432,18.674,0.482,0.482,86.786,278.508,18.536,yes
shape only,P16_REAR_HAUNCH_R_s16.stl,83.656,0.295,0.0,57.315,0.0,0.0,0.295,0.0,57.315,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s17.stl,1718.8,0.263,0.02,87.843,497.341,199.268,0.263,0.02,87.843,206.311,201.745,yes
shape only,P16_REAR_HAUNCH_R_s17b.stl,5.85,0.144,0.144,76.127,0.037,0.754,0.144,0.144,76.127,0.597,7.314,
shape only,P16_REAR_HAUNCH_R_s18.stl,238.635,0.46,0.46,81.426,74.375,10.841,0.46,0.46,81.426,82.267,12.918,
shape only,P16_REAR_HAUNCH_R_s19.stl,123.935,0.43,0.43,76.001,29.117,9.599,0.43,0.43,76.001,48.555,12.636,
shape only,P16_REAR_HAUNCH_R_s20.stl,235.918,0.424,0.292,82.879,213.087,43.955,0.424,0.292,82.879,130.163,43.911,yes
shape only,P16_REAR_HAUNCH_R_s20b.stl,47.826,0.084,0.084,64.254,0.288,0.958,0.084,0.084,64.254,5.528,13.976,
shape only,P16_REAR_HAUNCH_R_s20c.stl,18.82,0.385,0.0,56.983,0.0,0.0,0.385,0.0,56.983,0.0,0.0,
shape only,P16_REAR_HAUNCH_R_s21.stl,1554.285,0.267,0.241,82.356,3015.041,121.162,0.267,0.241,82.356,1835.974,123.891,yes
shape only,P16_REAR_HAUNCH_R_s21b.stl,20.05,0.404,0.404,77.93,2.166,3.579,0.404,0.404,77.93,4.764,6.849,
shape only,P16_REAR_HAUNCH_R_s22.stl,1963.011,0.228,0.187,87.978,7178.864,215.914,0.228,0.187,87.978,879.485,218.733,yes
